"name" "x" "y"
"1154" "יהודי כפרי צפון" 35.423523 32.701689
"1155" "ירושלים        " 35.22503 31.778048
"1156" "ערד            " 35.212317 31.255861
"1157" "ירושלים        " 35.22503 31.778048
"1159" "מעלה אדומים    " 35.298932 31.778916
"1161" "ירושלים        " 35.22503 31.778048
"1162" "ירושלים        " 35.22503 31.778048
"1163" "פרדס חנה       " 34.975445 32.470015
"1165" "ירושלים        " 35.22503 31.778048
"1169" "ירושלים        " 35.22503 31.778048
"1170" "מעלה אדומים    " 35.298932 31.778916
"1171" "ירושלים        " 35.22503 31.778048
"1172" "בית שמש        " 34.9865 31.749906
"1177" "רחובות         " 34.80856 31.898279
"1181" "בית שמש        " 34.9865 31.749906
"1182" "ראש העין       " 34.944364 32.097027
"1183" "באר שבע        " 34.799743 31.249812
"1185" "ראשון לציון    " 34.804046 31.964097
"1186" "הרצליה         " 34.844245 32.15898
"1187" "תל אביב        " 34.780855 32.08414
"1190" "ישוב עירוני מרכ" 34.858034 32.143758
"1192" "רמת גן         " 34.814124 32.082264
"1193" "יהוד           " 34.888095 32.031092
"1194" "ראש העין       " 34.944364 32.097027
"1195" "הרצליה         " 34.844245 32.15898
"1201" "מושבים מרכז    " 34.927852 32.14133
"1202" "רעננה          " 34.870963 32.180721
"1204" "מושב באזור ים  " 35.138604 31.747171
"1205" "כפר סבא        " 34.908101 32.172697
"1206" "ירושלים        " 35.22503 31.778048
"1209" "חיפה           " 34.998893 32.81221
"1210" "ישוב כפרי דרום " 34.542387 31.237925
"1211" "לוד            " 34.896132 31.948121
"1213" "שוהם           " 34.942531 31.996923
"1214" "ישוב עירוני מרכ" 34.858034 32.143758
"1216" "הרצליה         " 34.844245 32.15898
"1219" "נתניה          " 34.856615 32.328572
"1224" "ירושלים        " 35.22503 31.778048
"1225" "מודיעין        " 35.010207 31.891034
"1227" "ירושלים        " 35.22503 31.778048
"1229" "ירושלים        " 35.22503 31.778048
"1231" "ירושלים        " 35.22503 31.778048
"1232" "ישוב עירוני י-ם" 35.147694 31.796781
"1233" "ירושלים        " 35.22503 31.778048
"1234" "ירושלים        " 35.22503 31.778048
"1235" "ישוב ערבי י-ם  " 35.253396 31.764804
"1236" "ירושלים        " 35.22503 31.778048
"1237" "טייבה          " 35.005433 32.269378
"1242" "ישוב עירוני י-ם" 35.147694 31.796781
"1244" "ירושלים        " 35.22503 31.778048
"1247" "ירושלים        " 35.22503 31.778048
"1248" "ירושלים        " 35.22503 31.778048
